"metric_id","metric_name","category","formula_location","provenance_class","current_reference_quality","current_claim_risk","formula_change_needed","wording_fix_needed","citation_upgrade_needed","recommended_action","notes"
"alpha","Variability Ratio","scale","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"anderson_darling_stat","Anderson-Darling Distribution Statistic","agreement","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"baseflow_index_error","Baseflow Index Error","error","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"beta","Bias Ratio","bias","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"br2","Bias-Corrected R-squared","correlation","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"ccc","Concordance Correlation Coefficient","agreement","R/metrics_layer_a.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"cdf_rmse","CDF RMSE","error","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"composite_performance_index","Composite Performance Index","agreement","R/metrics_layer_c.R","package-defined","strong","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Retained package/compatibility definition that is labeled explicitly as package-defined."
"cp","Coefficient of Persistence","efficiency","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"d","Willmott Index of Agreement","agreement","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"derivative_nse","Derivative NSE","efficiency","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"distribution_overlap","Distribution Overlap","agreement","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"e1","Modified Coefficient of Efficiency","efficiency","R/metrics_layer_a.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"entropy_diff","Entropy Difference","error","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"event_nse","Event NSE","efficiency","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"evs","Explained Variance Score","efficiency","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"extreme_event_ratio","Extreme Event Ratio","agreement","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"hfb","High Flow Bias","bias","R/core_metrics.R","package-defined","strong","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Retained package/compatibility definition that is labeled explicitly as package-defined."
"huber_loss","Mean Huber Loss","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"kge","Kling-Gupta Efficiency","efficiency","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"kgekm","KGE Modified Variability","efficiency","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"kgelf","KGE Low-Flow","efficiency","R/core_metrics.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"kgenp","KGE Nonparametric","efficiency","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"ks_statistic","Kolmogorov-Smirnov Statistic","agreement","R/metrics_layer_b.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"kurtosis_error","Kurtosis Error","error","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"low_flow_bias","Low-Flow Bias","bias","R/metrics_layer_a.R","package-defined","strong","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Observed lower-30% subset rule is retained for compatibility and is not the literature FDC/log low-flow bias formulation."
"mae","Mean Absolute Error","error","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"mape","Mean Absolute Percentage Error","error","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"mare","Mean Absolute Relative Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"maxae","Maximum Absolute Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Deferred low-risk provenance item resolved in the 2026-04-04 closure micro-batch with named statistical authority and explicit formula wording."
"md","Modified Index of Agreement","agreement","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"mdae","Median Absolute Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Deferred low-risk provenance item resolved in the 2026-04-04 closure micro-batch with named statistical authority and explicit formula wording."
"me","Mean Error","bias","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"mnse","Modified NSE","efficiency","R/core_metrics.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"mpe","Mean Percentage Error","bias","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"mrb","Mean Relative Bias","bias","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"mse","Mean Squared Error","error","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"msle","Mean Squared Logarithmic Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"mutual_information","Mutual Information","agreement","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"mutual_information_score","Mutual Information Score","agreement","R/metrics_layer_c.R","package-defined","strong","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Callable compatibility duplicate of canonical mutual_information; not an independent canonical metric definition."
"normalised_mi","Normalised Mutual Information","agreement","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"nrmse","Normalized Root Mean Squared Error","error","R/core_metrics.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Mean(obs)-normalized variant is literature-used but not universal across NRMSE definitions."
"nrmse_range","Range-Normalized RMSE","error","R/metrics_layer_a.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"nrmse_sd","NRMSE by SD","error","R/core_metrics.R","package-defined","acceptable","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Retained package/compatibility definition that is labeled explicitly as package-defined."
"nse","Nash-Sutcliffe Efficiency","efficiency","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"pbias","Percent Bias","bias","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"peak_timing_error","Peak Timing Error","error","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"pfactor","P-factor","efficiency","R/core_metrics.R","package-defined","strong","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Terminology overlaps SWAT/95PPU usage, but the implemented deterministic paired-series formulas are intentionally not the SWAT uncertainty-band metrics."
"quantile_deviation","Quantile Deviation","error","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"quantile_kge","Quantile Kling-Gupta Efficiency","efficiency","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"quantile_loss","Mean Quantile Loss","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"quantile_shift_index","Quantile Shift Index","error","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"r","Pearson Correlation","correlation","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"r2","Squared Pearson Correlation","correlation","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rae","Relative Absolute Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rank_turnover_score","Rank Turnover Score","error","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"rbias","Relative Bias","bias","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rd","Relative Index of Agreement","agreement","R/core_metrics.R","package-defined","strong","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Decision-backed relative Willmott-family compatibility metric rather than a literature-exact index."
"recession_constant","Recession Constant Error","error","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"rfactor","R-factor","error","R/core_metrics.R","package-defined","strong","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Terminology overlaps SWAT/95PPU usage, but the implemented deterministic paired-series formulas are intentionally not the SWAT uncertainty-band metrics."
"rising_limb_error","Rising Limb Error","error","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"rmse","Root Mean Squared Error","error","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rmsle","Root Mean Squared Logarithmic Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rnse","Relative NSE","efficiency","R/core_metrics.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"rrmse","Relative Root Mean Squared Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rrse","Root Relative Squared Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rsd","Standard Deviation Ratio","scale","R/core_metrics.R","package-defined","acceptable","low","no","no","no","Retain explicit current package-defined framing; no formula change.","Retained package/compatibility definition that is labeled explicitly as package-defined."
"rspearman","Spearman Correlation","correlation","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"rsr","RSR","error","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"sae","Sum Absolute Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"skewness_error","Skewness Error","error","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"skge","Seasonal KGE","efficiency","R/core_metrics.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"smape","Symmetric Mean Absolute Percentage Error","error","R/metrics_layer_a.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"sqrt_nse","Square-Root NSE","efficiency","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"ssq","Sum of Squared Errors","error","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"trimmed_rmse","Trimmed RMSE","error","R/metrics_layer_a.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"ubrmse","Unbiased RMSE","error","R/core_metrics.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"upper_tail_conditional_exceedance","Upper Tail Conditional Exceedance","agreement","R/metrics_layer_c.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"ve","Volumetric Efficiency","efficiency","R/core_metrics.R","literature-exact","strong","low","no","no","no","Retain current implementation and provenance wording.","Implemented formula is defensibly tied to a named source as the intended formulation."
"wasserstein_distance","1-Wasserstein Distance","error","R/metrics_layer_b.R","standard-statistical","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Best described as a standard statistical definition rather than a hydrology-original metric."
"weighted_kge","Weighted Kling-Gupta Efficiency","efficiency","R/metrics_layer_b.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"winsor_rmse","Winsorized RMSE","error","R/metrics_layer_a.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"wnse","Weighted NSE","efficiency","R/core_metrics.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
"wsnse","Weighted Squared NSE","efficiency","R/core_metrics.R","literature-grounded-variant","acceptable","low","no","no","no","Retain current implementation and provenance wording.","Grounded in recognized literature concepts, but package operationalization fixes thresholds, grids, transforms, or subset rules."
